=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 7건 (3승 4패)
총 수익금: +9,206원 (+0.9%)
  ㄴ 승리 수익: +77,716원 (실제 수익률 합계)
  ㄴ 손실 금액: -68,510원 (실제 손실률 합계)

=== 총 승패: 3승 4패 ===
=== selection_date 이후 승패: 3승 4패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 3승 4패 (승률 42.9%) ===
총 수익금: +9,206원 (+0.9%)
  ㄴ 승리 수익: +77,716원
  ㄴ 손실 금액: -68,510원

   🟢 039860(나노엔텍) 09:48 매수 → +3.50%
   🔴 049630(재영솔루텍) 09:57 매수 → -2.50%
   🔴 126340(비나텍) 10:00 매수 → -2.50%
   🟢 056090(시지메드텍) 10:22 매수 → +0.77%
   🔴 394800(쓰리빌리언) 10:27 매수 → -0.82%
   🔴 437730(삼현) 10:50 매수 → -1.03%
   🟢 007460(에이프로젠) 11:09 매수 → +3.50%

=== 084670 - 20251210 눌림목(3분) 신호 재현 ===
  selection_date: 2025-12-10 09:02:34
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    13:18→13:21: 종가:39,450 | 거래량:2,920 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:21→13:24: 종가:39,050 | 거래량:6,098 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:24→13:27: 종가:38,900 | 거래량:5,385 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:27→13:30: 종가:39,050 | 거래량:6,775 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:30→13:33: 종가:39,250 | 거래량:4,912 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:33→13:36: 종가:39,100 | 거래량:2,174 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:36→13:39: 종가:38,800 | 거래량:6,950 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:39→13:42: 종가:38,750 | 거래량:5,221 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:42→13:45: 종가:38,950 | 거래량:4,637 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:45→13:48: 종가:39,300 | 거래량:6,997 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:48→13:51: 종가:39,000 | 거래량:2,059 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:51→13:54: 종가:38,950 | 거래량:1,451 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:54→13:57: 종가:38,800 | 거래량:4,231 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:57→14:00: 종가:39,200 | 거래량:3,197 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:00→14:03: 종가:39,000 | 거래량:1,967 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:03→14:06: 종가:39,900 | 거래량:16,557 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:06→14:09: 종가:40,450 | 거래량:27,796 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:09→14:12: 종가:39,600 | 거래량:14,859 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:12→14:15: 종가:39,150 | 거래량:6,534 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:15→14:18: 종가:39,850 | 거래량:5,531 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:18→14:21: 종가:39,600 | 거래량:5,490 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:21→14:24: 종가:39,500 | 거래량:3,259 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:24→14:27: 종가:41,100 | 거래량:24,351 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:27→14:30: 종가:43,250 | 거래량:73,552 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    14:30→14:33: 종가:42,900 | 거래량:169,734 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    14:33→14:36: 종가:41,950 | 거래량:92,376 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:36→14:39: 종가:42,700 | 거래량:60,992 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    14:39→14:42: 종가:42,600 | 거래량:50,333 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    14:42→14:45: 종가:43,000 | 거래량:26,710 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    14:45→14:48: 종가:45,200 | 거래량:149,617 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    14:48→14:51: 종가:44,750 | 거래량:74,430 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    14:51→14:54: 종가:45,950 | 거래량:69,104 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    14:54→14:57: 종가:46,750 | 거래량:99,887 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    14:57→15:00: 종가:46,550 | 거래량:94,174 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    15:00→15:03: 종가:46,250 | 거래량:124,785 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    15:03→15:06: 종가:46,300 | 거래량:41,058 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    15:06→15:09: 종가:46,000 | 거래량:84,389 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
    15:09→15:12: 종가:46,450 | 거래량:40,603 | 🔴회피(당일시가이하(시가:46850)) | 신뢰도:0%
