=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 8건 (4승 4패)
총 수익금: +6,318원 (+0.6%)
  ㄴ 승리 수익: +106,318원 (실제 수익률 합계)
  ㄴ 손실 금액: -100,000원 (실제 손실률 합계)

=== 총 승패: 4승 4패 ===
=== selection_date 이후 승패: 4승 4패 ===
=== 📊 최대 동시 보유 종목 수: 6개 ===
=== 🌅 12시 이전 매수 종목: 4승 4패 (승률 50.0%) ===
총 수익금: +6,318원 (+0.6%)
  ㄴ 승리 수익: +106,318원
  ㄴ 손실 금액: -100,000원

   🔴 424760 09:33 매수 → -2.50%
   🟢 448900 10:20 매수 → +3.50%
   🔴 003720 10:36 매수 → -2.50%
   🔴 095340 10:36 매수 → -2.50%
   🟢 085910 10:43 매수 → +3.50%
   🔴 092200 11:15 매수 → -2.50%
   🟢 235980 11:21 매수 → +3.50%
   🟢 058610 11:36 매수 → +0.13%

=== 058610 - 20251119 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-19 10:23:12
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    11:36 [pullback_pattern]
  체결 시뮬레이션:
    11:36 매수[pullback_pattern] @37,950 → 15:00 매도[profit_0.1pct] @38,000 (+0.13%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    14:27→14:30: 종가:38,450 | 거래량:43,110 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:30→14:33: 종가:38,400 | 거래량:23,770 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:33→14:36: 종가:38,200 | 거래량:39,561 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:36→14:39: 종가:38,500 | 거래량:38,105 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:39→14:42: 종가:38,300 | 거래량:33,508 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:42→14:45: 종가:38,000 | 거래량:48,428 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:45→14:48: 종가:38,100 | 거래량:49,552 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:48→14:51: 종가:38,000 | 거래량:46,288 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:51→14:54: 종가:38,100 | 거래량:31,608 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:54→14:57: 종가:38,000 | 거래량:25,207 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:57→15:00: 종가:37,800 | 거래량:27,860 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:00→15:03: 종가:38,100 | 거래량:28,418 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:03→15:06: 종가:38,000 | 거래량:16,987 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:06→15:09: 종가:38,150 | 거래량:36,523 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:09→15:12: 종가:38,200 | 거래량:19,970 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:12→15:15: 종가:38,550 | 거래량:147,840 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:15→15:18: 종가:38,250 | 거래량:67,005 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:18→15:21: 종가:38,200 | 거래량:57,665 | 🔴회피(4단계패턴없음) | 신뢰도:0%

=== 195990 - 20251119 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-19 09:02:54
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:413 | 거래량:2,854,787 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:413 | 거래량:1,511,421 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:404 | 거래량:1,616,022 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:397 | 거래량:1,292,157 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:397 | 거래량:814,351 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:410 | 거래량:1,363,216 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:410 | 거래량:1,002,242 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:406 | 거래량:847,519 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:406 | 거래량:1,075,194 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:406 | 거래량:460,942 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:396 | 거래량:1,590,647 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:398 | 거래량:810,938 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:391 | 거래량:1,011,090 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:51→09:54: 종가:392 | 거래량:275,920 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:54→09:57: 종가:393 | 거래량:157,552 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:57→10:00: 종가:393 | 거래량:314,988 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:00→10:03: 종가:379 | 거래량:961,540 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:03→10:06: 종가:378 | 거래량:242,905 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:06→10:09: 종가:372 | 거래량:1,409,826 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:09→10:12: 종가:371 | 거래량:761,636 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:12→10:15: 종가:372 | 거래량:306,591 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:15→10:18: 종가:374 | 거래량:176,019 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:18→10:21: 종가:368 | 거래량:458,898 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:21→10:24: 종가:369 | 거래량:236,145 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:24→10:27: 종가:381 | 거래량:491,334 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:27→10:30: 종가:373 | 거래량:539,019 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:30→10:33: 종가:374 | 거래량:177,444 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:33→10:36: 종가:378 | 거래량:136,601 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:36→10:39: 종가:378 | 거래량:94,491 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:39→10:42: 종가:376 | 거래량:107,202 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:42→10:45: 종가:378 | 거래량:203,577 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:45→10:48: 종가:380 | 거래량:264,072 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:48→10:51: 종가:377 | 거래량:180,861 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:51→10:54: 종가:385 | 거래량:556,075 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:54→10:57: 종가:397 | 거래량:1,567,196 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:57→11:00: 종가:385 | 거래량:634,358 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:00→11:03: 종가:387 | 거래량:401,504 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:03→11:06: 종가:392 | 거래량:412,589 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:06→11:09: 종가:389 | 거래량:514,903 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:09→11:12: 종가:384 | 거래량:331,768 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:12→11:15: 종가:383 | 거래량:171,446 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:15→11:18: 종가:382 | 거래량:160,216 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:18→11:21: 종가:382 | 거래량:96,959 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:21→11:24: 종가:380 | 거래량:70,100 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:24→11:27: 종가:382 | 거래량:73,477 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:27→11:30: 종가:380 | 거래량:73,358 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:30→11:33: 종가:379 | 거래량:138,924 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:33→11:36: 종가:378 | 거래량:166,566 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:36→11:39: 종가:380 | 거래량:49,104 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:39→11:42: 종가:380 | 거래량:52,033 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:42→11:45: 종가:381 | 거래량:50,229 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:45→11:48: 종가:382 | 거래량:26,095 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:48→11:51: 종가:382 | 거래량:145,862 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:51→11:54: 종가:383 | 거래량:80,105 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:54→11:57: 종가:381 | 거래량:93,326 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:57→12:00: 종가:383 | 거래량:95,594 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:00→12:03: 종가:381 | 거래량:36,501 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:03→12:06: 종가:382 | 거래량:49,067 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:06→12:09: 종가:381 | 거래량:18,025 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:09→12:12: 종가:390 | 거래량:144,063 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:12→12:15: 종가:386 | 거래량:117,940 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:15→12:18: 종가:390 | 거래량:99,814 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:18→12:21: 종가:388 | 거래량:62,662 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
