=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 4건 (2승 2패)
총 수익금: +20,000원 (+0.5%)
  ㄴ 승리 수익: +70,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

=== 총 승패: 2승 2패 ===
=== selection_date 이후 승패: 2승 2패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 2승 2패 (승률 50.0%) ===
총 수익금: +20,000원 (+0.5%)
  ㄴ 승리 수익: +70,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

   🟢 440110(파두) 10:07 매수 → +3.50% [ML: 73.1%]
   🟢 094170(동운아나텍) 10:15 매수 → +3.50% [ML: 71.1%]
   🔴 084670(동양고속) 10:36 매수 → -2.50% [ML: 57.3%]
   🔴 039200(오스코텍) 10:40 매수 → -2.50% [ML: 77.9%]

=== 448900 - 20251127 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-27 10:12:14
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    11:00→11:03: 종가:7,100 | 거래량:52,729 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:03→11:06: 종가:7,090 | 거래량:57,354 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:06→11:09: 종가:7,080 | 거래량:36,950 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:09→11:12: 종가:7,060 | 거래량:37,928 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:12→11:15: 종가:7,120 | 거래량:19,969 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:15→11:18: 종가:7,150 | 거래량:23,937 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:18→11:21: 종가:7,130 | 거래량:34,520 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:21→11:24: 종가:7,160 | 거래량:22,046 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:24→11:27: 종가:7,150 | 거래량:12,034 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:27→11:30: 종가:7,130 | 거래량:13,764 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:30→11:33: 종가:7,140 | 거래량:19,268 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:33→11:36: 종가:7,140 | 거래량:12,388 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:36→11:39: 종가:7,160 | 거래량:79,230 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:39→11:42: 종가:7,180 | 거래량:22,432 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:42→11:45: 종가:7,130 | 거래량:17,816 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:45→11:48: 종가:7,120 | 거래량:26,616 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:48→11:51: 종가:7,110 | 거래량:7,300 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:51→11:54: 종가:7,100 | 거래량:37,428 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:54→11:57: 종가:7,110 | 거래량:7,751 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:57→12:00: 종가:7,120 | 거래량:11,042 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:7,110 | 거래량:14,187 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:7,080 | 거래량:24,492 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:7,090 | 거래량:24,161 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:09→12:12: 종가:7,090 | 거래량:17,194 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:12→12:15: 종가:7,050 | 거래량:104,063 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:15→12:18: 종가:7,060 | 거래량:10,870 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:18→12:21: 종가:7,050 | 거래량:13,636 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:21→12:24: 종가:7,070 | 거래량:7,144 | 🔴회피(4단계패턴없음) | 신뢰도:0%
